City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chul'man,56.8479,124.9104,7.67,80,100,3.58,RU,1727405691
1,olonkinbyen,70.9221,-8.7187,-1.53,94,100,12.55,SJ,1727405692
2,blackmans bay,-43.0167,147.3167,15.96,53,21,1.53,AU,1727405693
3,hasaki,35.7333,140.8333,24.35,88,100,4.99,JP,1727405694
4,college,64.8569,-147.8028,6.99,80,75,2.57,US,1727405696
5,mugia,43.1041,-9.2179,15.51,72,70,8.81,ES,1727405697
6,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,44,0,6.0,RU,1727405698
7,morondava,-20.2833,44.2833,22.36,80,0,2.13,MG,1727405699
8,bukoba,-1.3317,31.8122,19.85,76,23,1.74,TZ,1727405700
9,gaalkacyo,6.7697,47.4308,23.76,66,100,6.73,SO,1727405701
10,priyutnoye,46.1011,43.5072,13.48,59,100,6.86,RU,1727405702
11,adamstown,-25.066,-130.1015,21.52,89,86,4.12,PN,1727405703
12,isafjordur,66.0755,-23.124,1.53,97,100,2.75,IS,1727405704
13,george town,5.4112,100.3354,30.96,78,20,1.54,MY,1727405468
14,waitangi,-43.9535,-176.5597,9.34,88,98,4.47,NZ,1727405707
15,vorgashor,67.5833,63.95,6.07,99,99,4.72,RU,1727405708
16,khandyga,62.6667,135.6,13.07,54,100,4.05,RU,1727405709
17,ribeira grande,38.5167,-28.7,23.76,85,97,6.71,PT,1727405710
18,bilibino,68.0546,166.4372,-2.16,74,99,1.04,RU,1727405711
19,maisi,43.0395,41.2621,13.55,63,100,2.09,GE,1727405713
20,butte,39.6499,-121.5677,27.01,40,0,0.0,US,1727405714
21,bikenibeu village,1.3673,173.1241,31.98,58,20,3.6,KI,1727405715
22,ushuaia,-54.8,-68.3,4.81,81,75,11.32,AR,1727405498
23,bethel,41.3712,-73.414,21.68,89,100,0.45,US,1727405717
24,takhtamukay,44.9215,38.9958,15.51,78,0,1.0,RU,1727405719
25,sao gabriel da cachoeira,-0.1303,-67.0892,22.56,100,100,0.59,BR,1727405594
26,puerto ayora,-0.7393,-90.3518,20.31,95,100,2.68,EC,1727405721
27,klerksdorp,-26.8521,26.6667,12.53,27,60,0.3,ZA,1727405722
28,hawaiian paradise park,19.5933,-154.9731,26.04,82,100,4.12,US,1727405723
29,udachny,66.4167,112.4,3.32,69,75,2.84,RU,1727405724
30,dryden,49.7833,-92.7503,21.16,64,0,4.12,CA,1727405726
31,hohhot,40.8106,111.6522,17.16,72,20,1.0,CN,1727405571
32,kristiansund,63.1115,7.732,7.36,87,100,5.14,NO,1727405729
33,chernomorskoye,45.5039,32.6997,19.92,75,82,2.1,UA,1727405730
34,manokwari,-0.8667,134.0833,29.37,65,39,4.93,ID,1727405731
35,banda aceh,5.5577,95.3222,28.99,70,99,1.04,ID,1727405732
36,genhe,50.7833,121.5167,18.71,32,100,3.42,CN,1727405733
37,weno,7.4515,151.8468,28.97,84,100,2.06,FM,1727405734
38,ushtobe,45.2514,77.9838,9.01,37,0,6.37,KZ,1727405735
39,thompson,55.7435,-97.8558,21.09,64,75,3.09,CA,1727405737
40,nicoya,10.1483,-85.452,23.75,94,100,1.11,CR,1727405738
41,loango,-4.6719,11.8312,23.78,88,94,2.11,CG,1727405739
42,bardai,11.65,7.2333,22.57,84,80,2.91,NG,1727405740
43,albany,42.6001,-73.9662,17.23,81,100,1.28,US,1727405663
44,aykhal,66.0,111.5,1.12,76,93,3.71,RU,1727405742
45,yellowknife,62.456,-114.3525,8.29,92,75,2.57,CA,1727405744
46,talnakh,69.4865,88.3972,1.4,95,100,3.46,RU,1727405745
47,port alfred,-33.5906,26.891,13.43,95,36,1.48,ZA,1727405653
48,island harbour,50.724,-1.2758,12.18,93,100,2.68,GB,1727405747
49,port-aux-francais,-49.35,70.2167,3.99,82,100,17.0,TF,1727405748
50,kulhudhuffushi,6.6221,73.07,27.73,76,100,5.75,MV,1727405749
51,klyuchi,52.2667,79.1667,5.55,56,90,4.2,RU,1727405750
52,jamestown,42.097,-79.2353,17.8,83,40,2.57,US,1727405565
53,nuuk,64.1835,-51.7216,7.34,65,27,3.6,GL,1727405753
54,tiksi,71.6872,128.8694,0.95,100,100,5.43,RU,1727405754
55,mahina,-17.5065,-149.489,27.87,78,20,3.6,PF,1727405755
56,parry sound,45.3501,-80.033,15.03,94,53,1.77,CA,1727405756
57,mount gambier,-37.8333,140.7667,18.06,35,0,1.27,AU,1727405757
58,san antonio de pale,-1.4014,5.6325,24.93,84,100,5.18,GQ,1727405759
59,ust'-kut,56.7938,105.7672,7.05,42,9,1.19,RU,1727405760
60,puerto natales,-51.7236,-72.4875,5.2,92,100,5.25,CL,1727405761
61,los osos,35.3111,-120.8324,17.22,90,20,0.89,US,1727405763
62,arraial do cabo,-22.9661,-42.0278,23.05,83,0,14.82,BR,1727405764
63,puerto san jose,13.9256,-90.8244,25.84,87,79,4.91,GT,1727405765
64,holualoa,19.6228,-155.9522,25.91,85,75,3.09,US,1727405766
65,inhambane,-23.865,35.3833,20.85,79,5,3.8,MZ,1727405768
66,edinburgh of the seven seas,-37.0676,-12.3116,12.14,91,100,4.25,SH,1727405769
67,cide,41.8921,33.0044,19.24,60,3,2.28,TR,1727405770
68,yamethin,20.4333,96.15,27.81,79,71,1.33,MM,1727405771
69,whitehorse,60.7161,-135.0538,7.43,65,40,2.57,CA,1727405772
70,utrik,11.2278,169.8474,28.74,76,100,6.0,MH,1727405774
71,praia da vitoria,38.7333,-27.0667,22.14,78,40,2.28,PT,1727405777
72,cabo san lucas,22.8909,-109.9124,27.64,65,0,6.71,MX,1727405778
73,selkirk,50.1436,-96.8845,25.1,30,0,5.87,CA,1727405780
74,bredasdorp,-34.5322,20.0403,13.13,90,96,0.72,ZA,1727405782
75,haimen,23.1935,116.6142,28.51,81,17,4.08,CN,1727405783
76,colonia,50.9333,6.95,14.42,73,0,3.6,DE,1727405646
77,wailua homesteads,22.0669,-159.378,28.44,73,20,5.14,US,1727405786
78,port mathurin,-19.6833,63.4167,22.25,77,7,8.59,MU,1727405787
79,vikhorevka,56.1201,101.1636,4.68,61,100,1.99,RU,1727405788
80,margaret river,-33.95,115.0667,13.68,65,61,7.07,AU,1727405789
81,as sulayyil,20.4607,45.5779,26.84,21,52,2.75,SA,1727405790
82,guerrero negro,27.9769,-114.0611,18.86,89,1,8.15,MX,1727405553
83,kaifeng,34.7911,114.3483,23.73,70,100,4.27,CN,1727405792
84,murud,18.3258,72.965,25.93,87,100,6.63,IN,1727405793
85,hawkesbury,45.6001,-74.616,13.08,87,33,2.68,CA,1727405794
86,grytviken,-54.2811,-36.5092,-1.37,76,59,8.13,GS,1727405796
87,khash,28.2211,61.2158,22.0,31,0,1.82,IR,1727405797
88,suva,-18.1416,178.4415,27.71,57,40,4.63,FJ,1727405798
89,west island,-12.1568,96.8225,27.99,74,75,4.12,CC,1727405800
90,puerto aysen,-45.4,-72.7,3.33,98,100,2.01,CL,1727405801
91,port lincoln,-34.7333,135.8667,16.01,54,28,7.76,AU,1727405802
92,chapada dos guimaraes,-15.4606,-55.7497,29.44,22,34,2.62,BR,1727405803
93,westport,41.1415,-73.3579,22.53,90,100,1.54,US,1727405805
94,myitkyina,25.3833,97.4,25.91,87,96,0.83,MM,1727405806
95,qaqortoq,60.7167,-46.0333,4.42,85,15,3.94,GL,1727405807
96,kolonia town,6.964,158.206,32.06,79,75,2.57,FM,1727405808
97,hermanus,-34.4187,19.2345,13.78,91,83,2.23,ZA,1727405653
98,amahai,-3.3333,128.9167,28.13,75,56,3.78,ID,1727405810
99,keflavik,64.0049,-22.5624,6.24,81,75,1.54,IS,1727405811
100,lincheng,19.9078,109.6858,29.03,75,64,1.42,CN,1727405812
101,zarghun shahr,32.8473,68.4457,18.31,34,0,2.42,AF,1727405813
102,havza,40.9706,35.6622,10.34,93,0,0.0,TR,1727405815
103,peterhead,57.5058,-1.7981,9.37,68,96,12.84,GB,1727405816
104,hithadhoo,-0.6,73.0833,28.13,73,100,6.46,MV,1727405817
105,avarua,-21.2078,-159.775,23.03,64,40,3.6,CK,1727405818
106,afaahiti,-17.75,-149.2833,25.3,81,22,4.24,PF,1727405819
107,enewetak,11.3474,162.3373,28.89,75,21,5.36,MH,1727405820
108,papatowai,-46.5619,169.4708,7.06,87,95,7.01,NZ,1727405821
109,arkadelphia,34.1209,-93.0538,19.01,62,7,1.6,US,1727405565
110,port augusta,-32.5,137.7667,24.59,14,0,5.71,AU,1727405823
111,georgetown,5.4112,100.3354,30.96,78,20,1.54,MY,1727405825
112,isola di capo rizzuto,38.96,17.0933,22.24,48,0,2.12,IT,1727405826
113,villa ojo de agua,-29.5,-63.6938,11.4,48,0,1.53,AR,1727405827
114,iqaluit,63.7506,-68.5145,3.85,93,75,0.0,CA,1727405828
115,hauterive,46.0901,3.4459,13.16,77,50,4.83,FR,1727405829
116,ratnagiri,16.9833,73.3,27.52,83,99,5.75,IN,1727405830
117,arkalyk,50.2486,66.9114,5.65,48,9,1.6,KZ,1727405832
118,timimoun,29.2639,0.231,27.21,39,0,2.06,DZ,1727405833
119,touros,-5.1989,-35.4608,24.56,78,26,6.74,BR,1727405835
120,vila velha,-20.3297,-40.2925,23.97,82,75,5.81,BR,1727405836
121,minas de marcona,-15.2119,-75.1103,11.05,87,89,4.21,PE,1727405837
122,susuman,62.7833,148.1667,7.95,50,2,1.46,RU,1727405838
123,ambon,-3.6954,128.1814,30.08,74,40,3.09,ID,1727405839
124,hamilton,39.1834,-84.5333,20.79,93,100,5.14,US,1727405586
125,bom jesus da lapa,-13.255,-43.4181,26.22,35,0,3.39,BR,1727405842
126,nizhnesortymskiy,62.4397,71.7603,2.98,85,100,5.47,RU,1727405844
127,badger,64.8,-147.5333,6.95,81,75,2.57,US,1727405845
128,sao miguel,-5.4667,-35.3667,24.18,81,58,6.81,BR,1727405846
129,anadyr,64.75,177.4833,4.28,64,100,2.0,RU,1727405847
130,atafu village,-8.5421,-172.5159,25.18,92,100,7.63,TK,1727405848
131,olinda,-8.0089,-34.8553,25.85,73,40,4.63,BR,1727405849
132,howard springs,-12.497,131.047,32.77,68,35,0.87,AU,1727405850
133,ilulissat,69.2167,-51.1,2.78,62,99,2.55,GL,1727405852
134,apatity,67.5641,33.4031,7.5,91,100,4.86,RU,1727405853
135,elko,41.0002,-115.5012,20.68,20,0,2.68,US,1727405755
136,madaba,31.5833,35.6667,23.15,57,0,1.85,JO,1727405856
137,la ronge,55.1001,-105.2842,9.14,81,40,3.6,CA,1727405857
138,saipan,15.1355,145.701,28.39,83,75,5.14,MP,1727405858
139,mokhotlong,-29.2894,29.0675,5.92,41,85,0.77,LS,1727405859
140,kavaratti,10.5669,72.642,27.45,82,100,6.4,IN,1727405860
141,invercargill,-46.4,168.35,6.68,91,100,4.02,NZ,1727405443
142,st. john's,47.5649,-52.7093,11.65,97,100,3.13,CA,1727405851
143,flying fish cove,-10.4217,105.6791,26.82,78,75,4.63,CX,1727405719
